title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,publishedAt
REFLECTION OF LIGHT,dwxaq4c9K6k,363140,1287,141,85,0,2014-02-24T06:55:56.000Z
Reflection : CBSE Class 10 X Science (Physics),HuyEnOZp7XY,682824,5845,600,537,0,2014-01-01T06:07:07.000Z
Laws of Reflection | It's AumSum Time,vt-SG7Pn8UU,1023832,4161,549,281,0,2015-12-18T12:19:11.000Z
prkaash kaa praavrtn (Reflection of Light) - kkssaa 10 vijnyaan (Class 10 Science) - Hindi,wsQ_QnkpKMc,566836,0,0,282,0,2015-09-04T14:16:26.000Z
Physics: Light - Reflection and Refraction (Part 1),68T8J-aqE18,422954,6179,336,541,0,2017-02-06T01:18:47.000Z
"Peaceful Music, Relaxing Music, Instrumental Music ""Reflections of Light"" by Tim Janis",cxuAic3vNNQ,81576,975,42,255,0,2017-08-08T06:14:12.000Z
"Light(prkaash),reflections of light,laws of reflections,image formation in plane mirror,reet,uptet,mp",xW8nAqxD4yo,101,3,0,0,0,2018-01-18T14:12:58.000Z
prkaash kaa praavrtn ( Reflections of Light ) Class - 10 All board In hindi(1),MOwyJXeos5k,10265,131,14,10,0,2018-01-04T04:12:41.000Z
5. Class 12 Physics | Reflection of Light | Types of Reflections | by Ashish Arora,JnpTzEKOHEE,10095,23,5,5,0,2012-11-07T11:29:41.000Z
Spherical Mirrors,T5sspQR4TIs,816288,9181,719,773,0,2015-06-30T10:37:17.000Z
Reflections of Light (prkaash kaa praavrtn) in hindi class - 10 Numerical question.,jadsCdaCiIw,2205,71,4,18,0,2018-01-05T02:57:19.000Z
prkaash kaa apvrtn (Reflections of Light ) polytechnic Entrance in hindi by STUDY KNOWLEDGE,bg4SbO1F0Bg,3210,78,3,12,0,2018-04-05T14:51:46.000Z
Laws of Reflection,hdqaN0CLcGE,158145,1729,82,170,0,2015-07-07T08:44:31.000Z
CLASS 10 Physics Video Lectures- light reflection & refraction (CBSE) by NEVT,9Pjunq71n4A,223037,1027,193,98,0,2014-11-08T05:43:52.000Z
Refraction of Light,jQDRNb-E-cY,322055,962,134,62,0,2014-01-03T06:25:29.000Z
ONU Marching Band - Reflections of Light,r5B-IBIWHaw,1377,2,0,4,0,2009-11-10T05:46:25.000Z
Law of Reflection Practical Activity for Students,ETF2-Zz3J18,131217,429,38,55,0,2014-10-18T00:35:31.000Z
"Reflections Part 3 - Reflections of Light, by Richard Saucedo",yBwJrZRB6GM,4502,0,0,0,0,2014-09-16T04:34:52.000Z
Sign convention of spherical mirrors.Light : Reflections and Refractions,enkNGYjKbvU,22503,202,33,19,0,2017-01-24T10:42:05.000Z
Reflection (1 of 1) What is the Law of Reflection? An Explanation,F42ARYb8b88,71359,960,33,133,0,2013-11-10T15:37:28.000Z
Reflections of Light,THAVHBv2ceU,7326,106,10,18,0,2011-04-16T15:56:30.000Z
REFLECTIONS OF LIGHT Part 1,YHd4E-ZdlFY,3263,3,0,0,0,2016-11-29T12:45:10.000Z
"Formation of Multiple Reflections, Class VIII, Physics, Chapter - Light",MamYf1s93pc,843,3,2,0,0,2017-07-28T06:37:38.000Z
Reflections Piano light jazz To soothe the spirit,XdeN7l2AS08,1834,25,0,6,0,2016-04-19T05:36:55.000Z
Azure Blue | Reflections Of Light,ZuoIMnRyrho,3393,54,1,1,0,2015-05-11T20:28:05.000Z
Physics - Optics: Reflections (1 of 2) Introduction,yMO7Lsjhmi4,96098,349,6,36,0,2013-04-29T05:01:56.000Z
"Reflection of Light|Light, Shadows & Reflections|CBSE Class 6 Science|(Hindi)",_l_NmoGR7Mo,36,0,1,0,0,2018-01-10T08:47:45.000Z
Reflection of Light and Laws of reflections,WHjnOZtUZTA,7,1,0,0,0,2018-05-13T12:42:32.000Z
How to paint Reflections (Acrylic light reflections on a road),u30C1zwdJ-Q,28446,499,9,45,0,2013-03-28T18:11:57.000Z
Fry Canyon - reflections of light on water onto stone in a deep slot canyon,HsEcIJQsfuo,1495,10,0,1,0,2012-05-29T23:06:11.000Z
Projections & Reflections of Light,3QWfpxnIeTw,145,10,0,10,0,2016-08-14T01:48:09.000Z
WQXR- Reflections of Light Ad,xgJhv77q3Y0,53,0,0,0,0,2018-03-09T16:18:27.000Z
Azure Blue - Reflections Of Light,GpgpYsJHrx4,14,0,0,0,0,2017-12-09T08:56:27.000Z
Steve and Sarah Newlin's Reflections of Light #2,nLqY_BbY6c8,5774,17,1,8,0,2009-07-09T15:37:25.000Z
TELL ME ONCE AGAIN - LIGHT REFLECTIONS,Nmsc-OaQeY0,2399696,11265,460,1213,0,2010-05-22T15:23:03.000Z
"Formation of Shadow - Light, Shadows and Reflections - Class 6 Science (Meritnation.com)",OiR2zkDHrLU,85784,137,42,14,0,2012-04-17T12:30:03.000Z
reflections of light,9fnBwqrgQ5Y,289,3,0,0,0,2012-10-06T15:18:30.000Z
REFLECTIONS OF LIGHT,qgwE5KU_wn0,17,1,0,0,0,2018-01-24T20:31:44.000Z
5. Class 12 Physics | Reflection of Light | Types of Reflections | by Ashish Arora (GA),aG9gf7A9Z2k,441,4,0,0,0,2014-07-24T14:29:45.000Z
Azure Blue - Reflections Of Light,Br0PjBESmL0,372,5,0,0,0,2015-05-11T21:11:20.000Z
Jotun Trends 2016: Reflections of Light,eGjl84ioBVo,33905,7,0,0,0,2015-10-28T10:50:10.000Z
class VI Science Light shadow and reflections  part1,V5PO4RgaxD0,3833,31,4,6,0,2016-09-21T17:25:31.000Z
SKALAR - REFLECTIONS ON LIGHT AND SOUND by Christopher Bauder and Kangding Ray,8-hxsm8lDps,14167,231,1,8,0,2018-02-23T15:45:23.000Z
Ray optics:find the number of reflections suffered by ray of light before it emerges out,HMgRGvE-0oI,75,5,1,2,0,2017-08-16T05:25:22.000Z
Blender Tutorial: Restricting Ray Visibility (Removing Light Reflections),FM_pfONHlyo,993,39,0,9,0,2018-02-26T14:45:52.000Z
Light Reflections in Imlay Canyon,HHIx4xAfFAI,226,2,0,0,0,2015-06-03T01:49:10.000Z
"Class 6: Science (Chapter 11: Light, Shadows and Reflections)",AfoCatYL-d8,11980,165,25,42,0,2017-11-06T15:30:39.000Z
Disney's Epcot Reflections Of Light!,NLp6t5KkNqw,18,1,0,6,0,2017-07-22T13:31:11.000Z
water and light reflections.avi,acidEXoSWew,552,3,0,1,0,2011-12-09T17:43:23.000Z
Corneal Light Reflections,D_-Qwgk0kQ0,28742,111,1,1,0,2014-06-20T18:11:37.000Z
